iter	Accuracy	MultiClass
0	0.6095238095	1.743300768
1	0.6106349206	1.622093783
2	0.6404761905	1.52313716
3	0.639047619	1.456757967
4	0.6376190476	1.391109381
5	0.6407936508	1.33836092
6	0.6401587302	1.28852125
7	0.6428571429	1.246668764
8	0.6466666667	1.215226995
9	0.6471428571	1.18233603
10	0.6477777778	1.155785703
11	0.6479365079	1.131780725
12	0.65	1.112163386
13	0.6512698413	1.097407543
14	0.6504761905	1.08483241
15	0.6506349206	1.0713509
16	0.6514285714	1.059854325
17	0.6520634921	1.048498444
18	0.653015873	1.041061862
19	0.6522222222	1.031597266
20	0.6542857143	1.02278802
21	0.6533333333	1.017149783
22	0.6538095238	1.016084726
23	0.653015873	1.01449705
24	0.6547619048	1.010472405
25	0.6546031746	1.004088354
26	0.6550793651	1.000921048
27	0.6553968254	0.9988229646
28	0.6553968254	0.9934580251
29	0.6561904762	0.9898370889
30	0.6566666667	0.9882504453
31	0.6565079365	0.9856173033
32	0.6577777778	0.9811126844
33	0.6574603175	0.978139306
34	0.6584126984	0.9745552742
35	0.6585714286	0.9726795955
36	0.6584126984	0.9710826281
37	0.6584126984	0.9705321604
38	0.6580952381	0.9688761897
39	0.6587301587	0.9654591777
40	0.6595238095	0.9613183753
41	0.6603174603	0.9595273682
42	0.6606349206	0.9583848391
43	0.6607936508	0.9568571544
44	0.6611111111	0.9563455155
45	0.6611111111	0.9560450511
46	0.660952381	0.9545284835
47	0.6615873016	0.9537069268
48	0.6615873016	0.952900173
49	0.6622222222	0.9502638343
50	0.6619047619	0.9484500256
51	0.6623809524	0.9479939148
52	0.6623809524	0.9471294053
53	0.6622222222	0.9447668209
54	0.6623809524	0.9442416722
55	0.6622222222	0.9428138187
56	0.6617460317	0.9420716225
57	0.6622222222	0.9405738273
58	0.6628571429	0.9392557328
59	0.6628571429	0.9379148144
60	0.6631746032	0.9373337699
61	0.6631746032	0.9367890388
62	0.6636507937	0.9348391449
63	0.6649206349	0.933055416
64	0.6652380952	0.9312127398
65	0.6652380952	0.9307946838
66	0.6657142857	0.9296256514
67	0.6647619048	0.9279399117
68	0.6652380952	0.9272806245
69	0.6653968254	0.9264733703
70	0.6658730159	0.925100297
71	0.6658730159	0.9246069938
