iter	Passed	Remaining
0	585	292038
1	1183	294705
2	1676	277789
3	2148	266430
4	2581	255608
5	3057	251750
6	3553	250284
7	4070	250322
8	4543	247868
9	5011	245579
10	5478	243539
11	5937	241457
12	6447	241544
13	6888	239114
14	7369	238279
15	7844	237292
16	8350	237239
17	8898	238270
18	9337	236384
19	9829	235916
20	10314	235275
21	10781	234259
22	11227	232843
23	11665	231368
24	12092	229760
25	12611	229919
26	13050	228630
27	13495	227501
28	13930	226249
29	14358	224948
30	14785	223693
31	15262	223208
32	15709	222312
33	16161	221509
34	16630	220945
35	17106	220490
36	17557	219708
37	17994	218773
38	18404	217545
39	18855	216836
40	19334	216448
41	19773	215624
42	20212	214820
43	20642	213930
44	21107	213416
45	21576	212949
46	22056	212585
47	22530	212159
48	22987	211574
49	23448	211033
50	23898	210397
51	24351	209796
52	24799	209159
53	25256	208597
54	25709	208012
55	26170	207493
56	26629	206961
57	27055	206184
58	27518	205691
59	27943	204917
60	28371	204184
61	28864	203910
62	29299	203236
63	29724	202495
64	30202	202126
65	30622	201365
66	31068	200786
67	31508	200174
68	31952	199585
69	32412	199108
70	32861	198558
71	33309	198009
